review_text,review_rating
"Salah satu tempat jual atk terlengkap di Makassar….dari buku tulis sampe mainan juga ada dijual di sini…Tapi kalo udh masuk ke dalam susah banget signal telpon. Ke sana pas masa PPKM tapi rame nya ga tanggung-tanggung, malah orang berdesak2an di dalam.",4
"Toko perlengkapan sekolah dan rumah tangga. Harga murah, tempatnya ramai, berada tepat di depan mall ratu indah",4
"Toko Alat tulis kantor terlengkap dimakassar. Menjual juga berbagai macam barang-barang seperti sapu, kanvas gambar, tissue, pita, balon, dan masih banyak lagi kebutuhan kantor lainnya. Menjual juga kalkulator, tinta printer, kertas foto, serta banyak lagi barang barang lainnya untuk dijual",5
"Paling lengkap, semua tersedia  kalau mau cari kebutuhan anak sekolah, kantor, acara dan lain lain👍👍👍",5
"Ribet dan tidak teratur. Tolong posisinya Di rubah mulai dari tempat barang yang di jual sampai kasir dan ada juga khusus pintu masuk dalam Toko, Maaf tidak sempat foto barang yang saya beli dikarenakan saya tidak nyaman di dalam Tokonya Terimakasih 🙏🏼",2
"Tempat belanja satuan/grosir bahan alat tulis/ kantor  dengan harga termurah. Hampir dapat dikatakan ini toko one stop shopping ATK. Sebaiknya berbelanja di pagi hari, karena tempat ini selalu ramai oleh pengunjung, apalagi sore sampai malam. Karyawan ramah.",5
"Barang lumayan lengkap. Harga terjangkau. Tapi sayang, ketika sudah berada dalam tokonya, sinyal RSL hp kurang kuat walau status sinyal di hpnya full. Mohon ditambahkan microcel dari provider telekkmunikasinya.",5
"Rame banget.... Tokonya besar, lengkap kertas dan alat tulis..... Tempat parkir luas....",5
"Lengkap banget, ditempat ini saya sering beli ATK untuk keperluan operasional kantor. Kekurangannya ada beberapa pegawainya yang kurang senyum jika diminta untuk ditunjukkan lokasi barang tertentu.",4
"Tempat cari ATK paling laris di Makassar, ditambah peralatan yg lainnya juga banyak, bukan cuman ATK",5
"Toko yang menyediakam ATK yang cukup lengkap, lokasi yang strategis yang berada di depan Mall Ratu Indah",5
Toko ATK yang sangat lengkap dan juga harganya lumayan murah.. Kalau ambil banyak dapat cashback juga. Sering ke sini untuk beli pulpen. Ada mushallahnya juga cuma lumayan kecil..,5
"Kalo masuk sini cuma mau beli 1, pulang bawa 5. Terlalu banyak racun heheh soalnya barangnya murah2",5
Salah satu toko alat tulis terlengkap di makassar yang selalu ramai pengunjung terutama saat awal tahun ajaran,5
"Toko yang bisa dibilang menjual segala macam jenis barang kebutuhan rumah tangga, alat tulis dan perkantoran 👍🏼",5
"pusat penjualan alat tulis terbesar dan terlengkap di Makassar, pengunjung sangat ramai apalagi waktu mau kenaikan kelas akan sangat ramai sekali. tapi disini tidak hanya menjual alat tulis, tapi juga ada peralatan untuk rumah tangga, mainan anak2, alat pesta dan beberapa alat otomotif dan bangunan. harga barang juga bisa dibilang murah karna juga bisa grosir, pelayanan juga baik, parkir luas. tapi sayangnya kadang bikin macet karna parkiran sampai makan bahu jalan.",4
Paling lengkap kalau cari peralatan sekolah dan kebutuhan pembuatan parsel atau souvenir,4
mohon  pegawaix agar lebih teliti kemarin sy belanja pulpen udh tercetak di struk &sdh dibyr sampai di rumah barangx gak ad:(,1
T4.yang paling diandalkan klau cari ATK. Murah dan lengkap. Semua tipe pembayaran juga sudah bisa..,5
Barang serba ada disni👌🏻👌🏻smg kedepannya bakal ber-AC hehe + sebagian harga produk tidak tertera (sebaiknya dicantumkan harga terbaru dri produk yg djual *spy bisa hitung2an memang sbelum ke kasir🤣),4
"Banyak pilihan barang sprti atk, dll. Harga juga ekonomis.",5
"Mencari perlengkapan untuk ulang tahun lengkap semuanya ada di toko new agung mulai balon, sovenir, topi ulang tahun, undangan, bahan dekor semuanya ada",5
"Harganya lebih murah di toko2 plastik yg dekat pasar di banding Agung... Cuman kelebihannya, di sini lebih lengkap",4
